created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2019-08-21 15:40:30 UTC,221,336,,,,,,
2019-08-21 15:40:46 UTC,222,336,,,,,,
2019-08-21 15:41:01 UTC,223,,19.00000,,,,,
2019-08-21 15:41:16 UTC,224,,,93.00000,,,,
2019-08-21 15:41:32 UTC,225,336,,,,,,
2019-08-21 15:41:47 UTC,226,,,93.00000,,,,
2019-08-21 15:42:03 UTC,227,337,,,,,,
2019-08-21 15:42:19 UTC,228,,19.00000,,,,,
2019-08-21 15:42:34 UTC,229,,19.00000,,,,,
2019-08-21 15:42:49 UTC,230,,,93.00000,,,,
2019-08-21 15:43:05 UTC,231,336,,,,,,
2019-08-21 15:43:21 UTC,232,,19.00000,,,,,
2019-08-21 15:43:36 UTC,233,,,93.00000,,,,
2019-08-21 15:43:52 UTC,234,336,,,,,,
2019-08-21 15:44:08 UTC,235,,20.00000,,,,,
2019-08-21 15:44:23 UTC,236,,,93.00000,,,,
2019-08-21 15:44:38 UTC,237,336,,,,,,
2019-08-21 15:44:54 UTC,238,,20.00000,,,,,
2019-08-21 15:45:10 UTC,239,,,93.00000,,,,
2019-08-21 15:45:25 UTC,240,336,,,,,,
2019-08-21 15:45:41 UTC,241,,20.00000,,,,,
2019-08-21 15:45:57 UTC,242,,,93.00000,,,,
2019-08-21 15:46:12 UTC,243,336,,,,,,
2019-08-21 15:46:28 UTC,244,,20.00000,,,,,
2019-08-21 15:46:43 UTC,245,,20.00000,,,,,
2019-08-21 15:46:58 UTC,246,337,,,,,,
2019-08-21 15:47:14 UTC,247,,,92.00000,,,,
2019-08-21 15:47:29 UTC,248,336,,,,,,
2019-08-21 15:47:45 UTC,249,,,93.00000,,,,
2019-08-21 15:48:01 UTC,250,336,,,,,,
2019-08-21 15:48:16 UTC,251,336,,,,,,
2019-08-21 15:48:31 UTC,252,,20.00000,,,,,
2019-08-21 15:48:47 UTC,253,336,,,,,,
2019-08-21 15:49:03 UTC,254,,19.00000,,,,,
2019-08-21 15:49:18 UTC,255,,,92.00000,,,,
2019-08-21 15:49:34 UTC,256,336,,,,,,
2019-08-21 15:49:50 UTC,257,,,93.00000,,,,
2019-08-21 15:50:05 UTC,258,,19.00000,,,,,
2019-08-21 15:50:21 UTC,259,,,93.00000,,,,
2019-08-21 15:50:36 UTC,260,337,,,,,,
2019-08-21 15:50:52 UTC,261,,19.00000,,,,,
2019-08-21 15:51:07 UTC,262,,20.00000,,,,,
2019-08-21 15:51:23 UTC,263,336,,,,,,
2019-08-21 15:51:38 UTC,264,,20.00000,,,,,
2019-08-21 15:51:53 UTC,265,,,93.00000,,,,
2019-08-21 15:52:09 UTC,266,,20.00000,,,,,
2019-08-21 15:52:24 UTC,267,,,93.00000,,,,
2019-08-21 15:52:39 UTC,268,336,,,,,,
2019-08-21 15:52:55 UTC,269,,,93.00000,,,,
2019-08-21 15:53:11 UTC,270,336,,,,,,
2019-08-21 15:53:26 UTC,271,,20.00000,,,,,
2019-08-21 15:53:41 UTC,272,,,93.00000,,,,
2019-08-21 15:53:57 UTC,273,336,,,,,,
2019-08-21 15:54:12 UTC,274,,20.00000,,,,,
2019-08-21 15:54:27 UTC,275,,,93.00000,,,,
2019-08-21 15:54:43 UTC,276,337,,,,,,
2019-08-21 15:54:59 UTC,277,,19.00000,,,,,
2019-08-21 15:55:14 UTC,278,,,93.00000,,,,
2019-08-21 15:55:29 UTC,279,337,,,,,,
2019-08-21 15:55:45 UTC,280,,,93.00000,,,,
2019-08-21 15:56:00 UTC,281,,,93.00000,,,,
2019-08-21 15:56:16 UTC,282,337,,,,,,
2019-08-21 15:56:31 UTC,283,,19.00000,,,,,
